2011-08-13 14:00:15 Notice: Notice (8): Undefined variable: product in [/home/content/68/7980368/html/cakephp/xamples/views/samples/index.ctp, line 87]
2011-08-25 17:11:12 Notice: Notice (8): Undefined index:  Product in [/home/content/68/7980368/html/cakephp/xamples/views/customers/customer_cart.ctp, line 23]
2011-08-25 17:11:12 Notice: Notice (8): Undefined index:  Product in [/home/content/68/7980368/html/cakephp/xamples/views/customers/customer_cart.ctp, line 25]
2011-08-25 17:11:12 Notice: Notice (8): Undefined index:  Product in [/home/content/68/7980368/html/cakephp/xamples/views/customers/customer_cart.ctp, line 26]
2011-08-25 17:11:12 Notice: Notice (8): Undefined index:  Product in [/home/content/68/7980368/html/cakephp/xamples/views/customers/customer_cart.ctp, line 27]
2011-08-25 17:11:12 Notice: Notice (8): Undefined index:  Product in [/home/content/68/7980368/html/cakephp/xamples/views/customers/customer_cart.ctp, line 28]
2011-08-25 17:11:16 Notice: Notice (8): Undefined index:  Product in [/home/content/68/7980368/html/cakephp/xamples/views/customers/customer_cart.ctp, line 23]
2011-08-25 17:11:16 Notice: Notice (8): Undefined index:  Product in [/home/content/68/7980368/html/cakephp/xamples/views/customers/customer_cart.ctp, line 25]
2011-08-25 17:11:16 Notice: Notice (8): Undefined index:  Product in [/home/content/68/7980368/html/cakephp/xamples/views/customers/customer_cart.ctp, line 26]
2011-08-25 17:11:16 Notice: Notice (8): Undefined index:  Product in [/home/content/68/7980368/html/cakephp/xamples/views/customers/customer_cart.ctp, line 27]
2011-08-25 17:11:16 Notice: Notice (8): Undefined index:  Product in [/home/content/68/7980368/html/cakephp/xamples/views/customers/customer_cart.ctp, line 28]
2011-08-28 09:37:56 Notice: Notice (8): Undefined variable: product in [/home/content/68/7980368/html/cakephp/xamples/views/samples/index.ctp, line 87]
2011-08-28 09:38:22 Notice: Notice (8): Undefined variable: product in [/home/content/68/7980368/html/cakephp/xamples/views/samples/index.ctp, line 87]
2011-08-29 22:54:06 Notice: Notice (8): Undefined index:  Product in [/home/content/68/7980368/html/cakephp/xamples/views/customers/customer_cart.ctp, line 23]
2011-08-29 22:54:06 Notice: Notice (8): Undefined index:  Product in [/home/content/68/7980368/html/cakephp/xamples/views/customers/customer_cart.ctp, line 25]
2011-08-29 22:54:06 Notice: Notice (8): Undefined index:  Product in [/home/content/68/7980368/html/cakephp/xamples/views/customers/customer_cart.ctp, line 26]
2011-08-29 22:54:06 Notice: Notice (8): Undefined index:  Product in [/home/content/68/7980368/html/cakephp/xamples/views/customers/customer_cart.ctp, line 27]
2011-08-29 22:54:06 Notice: Notice (8): Undefined index:  Product in [/home/content/68/7980368/html/cakephp/xamples/views/customers/customer_cart.ctp, line 28]
2011-08-29 22:54:06 Notice: Notice (8): Undefined index:  Product in [/home/content/68/7980368/html/cakephp/xamples/views/customers/customer_cart.ctp, line 23]
2011-08-29 22:54:06 Notice: Notice (8): Undefined index:  Product in [/home/content/68/7980368/html/cakephp/xamples/views/customers/customer_cart.ctp, line 25]
2011-08-29 22:54:06 Notice: Notice (8): Undefined index:  Product in [/home/content/68/7980368/html/cakephp/xamples/views/customers/customer_cart.ctp, line 26]
2011-08-29 22:54:06 Notice: Notice (8): Undefined index:  Product in [/home/content/68/7980368/html/cakephp/xamples/views/customers/customer_cart.ctp, line 27]
2011-08-29 22:54:06 Notice: Notice (8): Undefined index:  Product in [/home/content/68/7980368/html/cakephp/xamples/views/customers/customer_cart.ctp, line 28]
2011-08-29 22:54:12 Notice: Notice (8): Undefined index:  Product in [/home/content/68/7980368/html/cakephp/xamples/views/customers/customer_cart.ctp, line 23]
2011-08-29 22:54:12 Notice: Notice (8): Undefined index:  Product in [/home/content/68/7980368/html/cakephp/xamples/views/customers/customer_cart.ctp, line 25]
2011-08-29 22:54:12 Notice: Notice (8): Undefined index:  Product in [/home/content/68/7980368/html/cakephp/xamples/views/customers/customer_cart.ctp, line 26]
2011-08-29 22:54:12 Notice: Notice (8): Undefined index:  Product in [/home/content/68/7980368/html/cakephp/xamples/views/customers/customer_cart.ctp, line 27]
2011-08-29 22:54:12 Notice: Notice (8): Undefined index:  Product in [/home/content/68/7980368/html/cakephp/xamples/views/customers/customer_cart.ctp, line 28]
2011-08-29 22:54:12 Notice: Notice (8): Undefined index:  Product in [/home/content/68/7980368/html/cakephp/xamples/views/customers/customer_cart.ctp, line 23]
2011-08-29 22:54:12 Notice: Notice (8): Undefined index:  Product in [/home/content/68/7980368/html/cakephp/xamples/views/customers/customer_cart.ctp, line 25]
2011-08-29 22:54:12 Notice: Notice (8): Undefined index:  Product in [/home/content/68/7980368/html/cakephp/xamples/views/customers/customer_cart.ctp, line 26]
2011-08-29 22:54:12 Notice: Notice (8): Undefined index:  Product in [/home/content/68/7980368/html/cakephp/xamples/views/customers/customer_cart.ctp, line 27]
2011-08-29 22:54:12 Notice: Notice (8): Undefined index:  Product in [/home/content/68/7980368/html/cakephp/xamples/views/customers/customer_cart.ctp, line 28]
2011-12-20 12:03:18 Notice: Notice (8): Undefined variable: tmp in [/home/content/68/7980368/html/cakephp/xamples/controllers/users_controller.php, line 79]
