2011-08-25 17:11:16 Warning: Warning (2): Invalid argument supplied for foreach() in [/home/content/68/7980368/html/cakephp/xamples/models/customers_sample.php, line 46]
2012-03-08 02:56:45 Warning: Warning (2): mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Lost connection to MySQL server at 'reading initial communication packet', system error: 110 in [/home/content/68/7980368/html/cakephp/cake/libs/model/datasources/dbo/dbo_mysql.php, line 540]
2012-03-08 02:56:46 Warning: Warning (2): mysql_select_db(): supplied argument is not a valid MySQL-Link resource in [/home/content/68/7980368/html/cakephp/cake/libs/model/datasources/dbo/dbo_mysql.php, line 546]
2012-03-08 02:56:46 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/home/content/68/7980368/html/cakephp/cake/libs/model/datasources/dbo/dbo_mysql.php, line 588]
2012-03-08 02:56:46 Warning: Warning (2): mysql_get_server_info(): supplied argument is not a valid MySQL-Link resource in [/home/content/68/7980368/html/cakephp/cake/libs/model/datasources/dbo/dbo_mysql.php, line 554]
2012-03-08 02:56:46 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/home/content/68/7980368/html/cakephp/cake/libs/model/datasources/dbo/dbo_mysql.php, line 588]
2012-03-08 02:56:46 Warning: Warning (2): mysql_errno(): supplied argument is not a valid MySQL-Link resource in [/home/content/68/7980368/html/cakephp/cake/libs/model/datasources/dbo/dbo_mysql.php, line 667]
2012-03-08 02:56:46 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/home/content/68/7980368/html/cakephp/cake/libs/model/datasources/dbo/dbo_mysql.php, line 588]
2012-03-08 02:56:46 Warning: Warning (2): mysql_errno(): supplied argument is not a valid MySQL-Link resource in [/home/content/68/7980368/html/cakephp/cake/libs/model/datasources/dbo/dbo_mysql.php, line 667]
2012-03-08 02:56:46 Warning: Warning (2): Invalid argument supplied for foreach() in [/home/content/68/7980368/html/cakephp/xamples/views/products/index.ctp, line 60]
2012-04-10 02:27:25 Warning: Warning (2): mysql_connect() [<a href='function.mysql-connect'>function.mysql-connect</a>]: Lost connection to MySQL server at 'reading initial communication packet', system error: 110 in [/home/content/68/7980368/html/cakephp/cake/libs/model/datasources/dbo/dbo_mysql.php, line 540]
2012-04-10 02:27:26 Warning: Warning (2): mysql_select_db(): supplied argument is not a valid MySQL-Link resource in [/home/content/68/7980368/html/cakephp/cake/libs/model/datasources/dbo/dbo_mysql.php, line 546]
2012-04-10 02:27:26 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/home/content/68/7980368/html/cakephp/cake/libs/model/datasources/dbo/dbo_mysql.php, line 588]
2012-04-10 02:27:26 Warning: Warning (2): mysql_get_server_info(): supplied argument is not a valid MySQL-Link resource in [/home/content/68/7980368/html/cakephp/cake/libs/model/datasources/dbo/dbo_mysql.php, line 554]
2012-04-10 02:27:26 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/home/content/68/7980368/html/cakephp/cake/libs/model/datasources/dbo/dbo_mysql.php, line 588]
2012-04-10 02:27:26 Warning: Warning (2): mysql_errno(): supplied argument is not a valid MySQL-Link resource in [/home/content/68/7980368/html/cakephp/cake/libs/model/datasources/dbo/dbo_mysql.php, line 667]
2012-04-10 02:27:26 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/home/content/68/7980368/html/cakephp/cake/libs/model/datasources/dbo/dbo_mysql.php, line 588]
2012-04-10 02:27:26 Warning: Warning (2): mysql_errno(): supplied argument is not a valid MySQL-Link resource in [/home/content/68/7980368/html/cakephp/cake/libs/model/datasources/dbo/dbo_mysql.php, line 667]
2012-04-10 02:27:26 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [/home/content/68/7980368/html/cakephp/cake/libs/model/datasources/dbo/dbo_mysql.php, line 588]
2012-04-10 02:27:26 Warning: Warning (2): mysql_errno(): supplied argument is not a valid MySQL-Link resource in [/home/content/68/7980368/html/cakephp/cake/libs/model/datasources/dbo/dbo_mysql.php, line 667]
